Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id,Cluster
7685872_A1,Dr. Dre,Intro,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",26,0.36,0.727,-6.996,0.157,0.123,9.35e-05,0.433,0.152,81.152,4.0,1:15,C Major,8B,0.0,1.0,1uftnTuei3ckZpNZxHKgRJ,6.0
7685872_A2,Dr. Dre,Talk About It,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",33,0.682,0.845,-2.206,0.0826,0.00569,0.0,0.349,0.139,103.889,4.0,3:15,C Major,8B,0.0,1.0,44uZZ2tn0ucKwFrqJdhLTE,6.0
7685872_A3,Dr. Dre,Genocide,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",36,0.585,0.758,-3.501,0.186,0.000195,0.0,0.088,0.386,86.629,4.0,4:26,A#/B♭ Minor,3A,10.0,0.0,7GW98M7bhqIqLGpxxStZWP,6.0
7685872_A4,Dr. Dre,It’s All On Me,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",36,0.587,0.863,-4.43,0.496,0.0448,0.0,0.13,0.198,89.702,4.0,3:47,D Minor,7A,2.0,0.0,57KXAlfzVwxhBtHkvMatrd,6.0
7685872_B5,Dr. Dre,All In A Day’s Work,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",35,0.634,0.966,-4.656,0.489,0.0542,6.63e-06,0.448,0.587,79.977,4.0,5:13,G#/A♭ Major,4B,8.0,1.0,53RG6rDqEvGDsZ0Ijr3ur1,6.0
7685872_B6,Dr. Dre,Darkside Gone,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",39,0.667,0.782,-4.404,0.31,0.0125,0.0,0.0997,0.59,80.487,4.0,3:53,D Major,10B,2.0,1.0,5ZEdSY99Mj5U4MIF97EKER,3.0
7685872_B7,Dr. Dre,Loose Cannons,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",29,0.485,0.943,-5.051,0.461,0.0732,0.0,0.0686,0.337,129.385,4.0,4:13,G Major,9B,7.0,1.0,5Pkik37ckb0NKfsxkVH5Ky,6.0
7685872_B8,Dr. Dre,Issues,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",31,0.605,0.859,-4.672,0.371,0.00125,0.0,0.105,0.317,90.753,4.0,3:41,E Minor,9A,4.0,0.0,1658HFZEblbVdqU1VBPqDO,6.0
7685872_C9,Dr. Dre,Deep Water,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",40,0.705,0.786,-5.417,0.355,0.0306,3.27e-05,0.906,0.473,101.995,4.0,5:11,C♯/D♭ Major,3B,1.0,1.0,7LUOpegdxmYkaHjJXdHuZ3,3.0
7685872_C10,Dr. Dre,One Shot One Kill,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",34,0.656,0.932,-2.77,0.317,0.00131,0.0025,0.184,0.541,85.076,4.0,3:25,F#/G♭ Minor,11A,6.0,0.0,34jHDKV7cNwRLl2NU1zPJq,3.0
7685872_C11,Dr. Dre,Just Another Day,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",42,0.608,0.789,-2.971,0.335,0.00105,3.08e-05,0.0884,0.386,172.093,4.0,2:21,G#/A♭ Major,4B,8.0,1.0,2LQTHb4rEtKpxQgeqdesmc,4.0
7685872_C12,Dr. Dre,For The Love Of Money,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",36,0.733,0.759,-4.691,0.0777,0.000257,1.93e-05,0.306,0.0917,134.037,4.0,4:08,A#/B♭ Minor,3A,10.0,0.0,1pk4C9uzUEiraK51CS2xyz,1.0
